2.340989506000000109e+00 0.000000000000000000e+00
2.341058830499748833e+00 0.000000000000000000e+00
2.341128154999497557e+00 0.000000000000000000e+00
2.341197479499246281e+00 0.000000000000000000e+00
2.341266803998995005e+00 0.000000000000000000e+00
2.341336128498743729e+00 0.000000000000000000e+00
2.341405452998492454e+00 0.000000000000000000e+00
2.341474777498241178e+00 0.000000000000000000e+00
2.341544101997989458e+00 0.000000000000000000e+00
2.341613426497738182e+00 0.000000000000000000e+00
2.341682750997486906e+00 0.000000000000000000e+00
2.341752075497235630e+00 0.000000000000000000e+00
2.341821399996984354e+00 0.000000000000000000e+00
2.341890724496733078e+00 0.000000000000000000e+00
2.341960048996481802e+00 0.000000000000000000e+00
2.342029373496230527e+00 0.000000000000000000e+00
2.342098697995979251e+00 0.000000000000000000e+00
2.342168022495727975e+00 0.000000000000000000e+00
2.342237346995476699e+00 0.000000000000000000e+00
2.342306671495225423e+00 0.000000000000000000e+00
2.342375995994974147e+00 0.000000000000000000e+00
2.342445320494722871e+00 0.000000000000000000e+00
2.342514644994471151e+00 0.000000000000000000e+00
2.342583969494219875e+00 0.000000000000000000e+00
2.342653293993968600e+00 0.000000000000000000e+00
2.342722618493717324e+00 0.000000000000000000e+00
2.342791942993466048e+00 0.000000000000000000e+00
2.342861267493214772e+00 0.000000000000000000e+00
2.342930591992963496e+00 0.000000000000000000e+00
2.342999916492712220e+00 0.000000000000000000e+00
2.343069240992460944e+00 0.000000000000000000e+00
2.343138565492209668e+00 0.000000000000000000e+00
2.343207889991958393e+00 0.000000000000000000e+00
2.343277214491707117e+00 0.000000000000000000e+00
2.343346538991455841e+00 0.000000000000000000e+00
2.343415863491204565e+00 0.000000000000000000e+00
2.343485187990952845e+00 0.000000000000000000e+00
2.343554512490701569e+00 0.000000000000000000e+00
2.343623836990450293e+00 0.000000000000000000e+00
2.343693161490199017e+00 0.000000000000000000e+00
2.343762485989947741e+00 0.000000000000000000e+00
2.343831810489696466e+00 0.000000000000000000e+00
2.343901134989445190e+00 0.000000000000000000e+00
2.343970459489193914e+00 0.000000000000000000e+00
2.344039783988942638e+00 0.000000000000000000e+00
2.344109108488691362e+00 0.000000000000000000e+00
2.344178432988440086e+00 0.000000000000000000e+00
2.344247757488188810e+00 3.461057870748426930e-06
2.344317081987937534e+00 7.033934418237965251e-06
2.344386406487686259e+00 1.067858409384180879e-05
2.344455730987434983e+00 1.438391131980202556e-05
2.344525055487183263e+00 1.816025530783470034e-05
2.344594379986931987e+00 2.198112738709555363e-05
2.344663704486680711e+00 2.584413775520082672e-05
2.344733028986429435e+00 2.975346962104460523e-05
2.344802353486178159e+00 3.370731628889127155e-05
2.344871677985926883e+00 3.768991991904538965e-05
2.344941002485675607e+00 4.169876305307595868e-05
2.345010326985424332e+00 4.573589959783476411e-05
2.345079651485173056e+00 4.979411132826509279e-05
2.345148975984921780e+00 5.386531970342442612e-05
2.345218300484670504e+00 5.794705040260408001e-05
2.345287624984419228e+00 6.203669927698537002e-05
2.345356949484167952e+00 6.612634815138126966e-05
2.345426273983916676e+00 7.021301789972442741e-05
2.345495598483664956e+00 7.429446172100605066e-05
2.345564922983413680e+00 7.836046246313694695e-05
2.345634247483162405e+00 8.240952858408031787e-05
2.345703571982911129e+00 8.643979433854794470e-05
2.345772896482659853e+00 9.044815275827132234e-05
2.345842220982408577e+00 9.441489076183570586e-05
2.345911545482157301e+00 9.834966391745607632e-05
2.345980869981906025e+00 1.022499095869265200e-04
2.346050194481654749e+00 1.061082501675636474e-04
2.346119518981403473e+00 1.099048337730354599e-04
2.346188843481152198e+00 1.136528691287869950e-04
2.346258167980900922e+00 1.173500276642539100e-04
2.346327492480649646e+00 1.209822329800615005e-04
2.346396816980398370e+00 1.245347720590690851e-04
2.346466141480146650e+00 1.280234795761918593e-04
